tensor(6.9602, device='cuda:0', grad_fn=<MulBackward0>)
tensor(8.3929, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.7376, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.7909, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.3402, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.5164, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.6486, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.2335, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.0397, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.1357, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.5729, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.5348, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.0515, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.4146, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.5536, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.5564, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.7157, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.1439, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.6720, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.5241, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.0065, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.6921, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.9424, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.2273, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6762, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.9309, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.8963, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.5423, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.5728, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.2067, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.6608, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.4786, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.1343, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.6880, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.4905, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.0813, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.0323, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.8138, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.1022, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.2307, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.7054, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.9921, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.7220, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.5438, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.9150, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.6699, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.9209, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.7440, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.3766, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.1844, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.5746, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.7826, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.3387, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.8488, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.5838, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.5281, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.8313, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.3206, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.9920, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.7268, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.0930, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.0351, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.0430, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.4483, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.2535, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.9206, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8812, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.5929, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.9016, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.9523, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.6666, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.9936, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.0892, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.1228, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.2544, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.3580, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.2828, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.0277, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.6907, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.4890, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.6700, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.4939, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.5094, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8931, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.0305, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.5023, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8410, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.9397, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.6464, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.6611, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.6332, device='cuda:0', grad_fn=<MulBackward0>)
